facility__i_d,facility__name,address,city/_town,state,z_i_p__code,county/_parish,telephone__number,condition,measure__i_d,measure__name,score,sample,footnote,start__date,end__date
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,(570) 824-3521,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,2223,20,01/01/2022,12/31/2022
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,(570) 824-3521,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,85,103,"2, 20",01/01/2022,12/31/2022
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,(570) 824-3521,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,75,125,"2, 20",01/01/2022,12/31/2022
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,(570) 824-3521,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,72,173,"2, 20",01/01/2022,12/31/2022
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,(570) 824-3521,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,80,100,"2, 20",01/01/2022,12/31/2022
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR,921,SAN JUAN,(800) 449-8729,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.75,6525,20,01/01/2022,12/31/2022
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR,921,SAN JUAN,(800) 449-8729,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,6525,20,01/01/2022,12/31/2022
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR,921,SAN JUAN,(800) 449-8729,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,58,92,"2, 20",01/01/2022,12/31/2022
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR,921,SAN JUAN,(800) 449-8729,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,74,73,"2, 20",01/01/2022,12/31/2022
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR,921,SAN JUAN,(800) 449-8729,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,53,124,"2, 20",01/01/2022,12/31/2022
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR,921,SAN JUAN,(800) 449-8729,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,84,61,"2, 20",01/01/2022,12/31/2022
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,(401) 457-3042,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,4431,20,01/01/2022,12/31/2022
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,(401) 457-3042,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.14,4431,20,01/01/2022,12/31/2022
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,(401) 457-3042,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,62,138,"2, 20",01/01/2022,12/31/2022
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,(401) 457-3042,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,86,131,"2, 20",01/01/2022,12/31/2022
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,(401) 457-3042,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,55,141,"2, 20",01/01/2022,12/31/2022
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,(401) 457-3042,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,78,121,"2, 20",01/01/2022,12/31/2022
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.13,4415,20,01/01/2022,12/31/2022
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.07,4415,20,01/01/2022,12/31/2022
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,69,99,"2, 20",01/01/2022,12/31/2022
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,72,149,"2, 20",01/01/2022,12/31/2022
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,87,153,"2, 20",01/01/2022,12/31/2022
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,92,138,"2, 20",01/01/2022,12/31/2022
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.19,5986,20,01/01/2022,12/31/2022
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.24,5986,20,01/01/2022,12/31/2022
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,61,138,"2, 20",01/01/2022,12/31/2022
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,89,142,"2, 20",01/01/2022,12/31/2022
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,77,164,"2, 20",01/01/2022,12/31/2022
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,86,146,"2, 20",01/01/2022,12/31/2022
43002F,VA BLACK HILLS HEALTHCARE SYSTEM,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,(605) 347-2511,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,1492,20,01/01/2022,12/31/2022
43002F,VA BLACK HILLS HEALTHCARE SYSTEM,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,(605) 347-2511,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.04,1492,20,01/01/2022,12/31/2022
43002F,VA BLACK HILLS HEALTHCARE SYSTEM,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,(605) 347-2511,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,49,148,"2, 20",01/01/2022,12/31/2022
43002F,VA BLACK HILLS HEALTHCARE SYSTEM,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,(605) 347-2511,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,80,143,"2, 20",01/01/2022,12/31/2022
43002F,VA BLACK HILLS HEALTHCARE SYSTEM,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,(605) 347-2511,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,58,185,"2, 20",01/01/2022,12/31/2022
43002F,VA BLACK HILLS HEALTHCARE SYSTEM,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,(605) 347-2511,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,63,122,"2, 20",01/01/2022,12/31/2022
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,1064,20,01/01/2022,12/31/2022
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,1064,20,01/01/2022,12/31/2022
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,90,83,"2, 20",01/01/2022,12/31/2022
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,93,69,"2, 20",01/01/2022,12/31/2022
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,88,154,"2, 20",01/01/2022,12/31/2022
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,96,117,"2, 20",01/01/2022,12/31/2022
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,(901) 577-7200,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.03,6309,20,01/01/2022,12/31/2022
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,(901) 577-7200,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.07,6309,20,01/01/2022,12/31/2022
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,(901) 577-7200,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,41,126,"2, 20",01/01/2022,12/31/2022
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,(901) 577-7200,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,51,134,"2, 20",01/01/2022,12/31/2022
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,(901) 577-7200,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,34,294,"2, 20",01/01/2022,12/31/2022
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,(901) 577-7200,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,54,120,"2, 20",01/01/2022,12/31/2022
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,(423) 926-1171,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.33,4846,20,01/01/2022,12/31/2022
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,(423) 926-1171,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,3.33,4846,20,01/01/2022,12/31/2022
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,(423) 926-1171,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,84,126,"2, 20",01/01/2022,12/31/2022
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,(423) 926-1171,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,85,158,"2, 20",01/01/2022,12/31/2022
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,(423) 926-1171,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,81,260,"2, 20",01/01/2022,12/31/2022
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,(423) 926-1171,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,87,187,"2, 20",01/01/2022,12/31/2022
44017F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO,3400 LEBANON PIKE,MURFREESBORO,TN,37129,RUTHERFORD,(615) 867-6000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
44017F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO,3400 LEBANON PIKE,MURFREESBORO,TN,37129,RUTHERFORD,(615) 867-6000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
44017F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO,3400 LEBANON PIKE,MURFREESBORO,TN,37129,RUTHERFORD,(615) 867-6000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
44017F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO,3400 LEBANON PIKE,MURFREESBORO,TN,37129,RUTHERFORD,(615) 867-6000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
44017F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO,3400 LEBANON PIKE,MURFREESBORO,TN,37129,RUTHERFORD,(615) 867-6000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
44017F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO,3400 LEBANON PIKE,MURFREESBORO,TN,37129,RUTHERFORD,(615) 867-6000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
44018F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE,TN,37212,DAVIDSON,(615) 327-5332,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.16,11775,20,01/01/2022,12/31/2022
44018F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE,TN,37212,DAVIDSON,(615) 327-5332,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,1.55,11775,20,01/01/2022,12/31/2022
44018F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE,TN,37212,DAVIDSON,(615) 327-5332,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,71,170,"2, 20",01/01/2022,12/31/2022
44018F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE,TN,37212,DAVIDSON,(615) 327-5332,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,66,174,"2, 20",01/01/2022,12/31/2022
44018F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE,TN,37212,DAVIDSON,(615) 327-5332,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,71,290,"2, 20",01/01/2022,12/31/2022
44018F,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE,TN,37212,DAVIDSON,(615) 327-5332,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,55,220,"2, 20",01/01/2022,12/31/2022
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,(806) 355-9703,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,5,01/01/2022,12/31/2022
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,(806) 355-9703,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,5,01/01/2022,12/31/2022
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,(806) 355-9703,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,78,87,"2, 20",01/01/2022,12/31/2022
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,(806) 355-9703,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,56,57,"2, 20",01/01/2022,12/31/2022
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,(806) 355-9703,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,87,139,"2, 20",01/01/2022,12/31/2022
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,(806) 355-9703,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,48,97,"2, 20",01/01/2022,12/31/2022
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,(214) 742-8387,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.11,5215,20,01/01/2022,12/31/2022
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,(214) 742-8387,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.24,5215,20,01/01/2022,12/31/2022
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,(214) 742-8387,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,92,118,"2, 20",01/01/2022,12/31/2022
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,(214) 742-8387,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,91,170,"2, 20",01/01/2022,12/31/2022
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,(214) 742-8387,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,83,305,"2, 20",01/01/2022,12/31/2022
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,(214) 742-8387,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,97,213,"2, 20",01/01/2022,12/31/2022
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,(713) 794-7100,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,9766,20,01/01/2022,12/31/2022
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,(713) 794-7100,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.3,9766,20,01/01/2022,12/31/2022
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,(713) 794-7100,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,81,117,"2, 20",01/01/2022,12/31/2022
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,(713) 794-7100,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,78,148,"2, 20",01/01/2022,12/31/2022
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,(713) 794-7100,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,61,321,"2, 20",01/01/2022,12/31/2022
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,(713) 794-7100,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,54,157,"2, 20",01/01/2022,12/31/2022
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.03,7528,20,01/01/2022,12/31/2022
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,7528,20,01/01/2022,12/31/2022
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,76,136,"2, 20",01/01/2022,12/31/2022
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,90,147,"2, 20",01/01/2022,12/31/2022
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,67,255,"2, 20",01/01/2022,12/31/2022
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,94,148,"2, 20",01/01/2022,12/31/2022
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,(210) 617-5300,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.01,4903,20,01/01/2022,12/31/2022
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,(210) 617-5300,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.06,4903,20,01/01/2022,12/31/2022
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,(210) 617-5300,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,99,110,"2, 20",01/01/2022,12/31/2022
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,(210) 617-5300,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,88,157,"2, 20",01/01/2022,12/31/2022
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,(210) 617-5300,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,63,290,"2, 20",01/01/2022,12/31/2022
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,(210) 617-5300,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,88,153,"2, 20",01/01/2022,12/31/2022
46002F,VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER,500 FOOTHILL BLVD.,SALT LAKE CITY,UT,84148,SALT LAKE,(801) 584-1211,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.13,5810,20,01/01/2022,12/31/2022
