facility__i_d,facility__name,address,city/_town,state,z_i_p__code,county/_parish,telephone__number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_(lowest)_to_10_(highest),patients'_rating_of_the_facility_linear_mean_score,patients_who_reported__y_e_s_they_would__d_e_f_i_n_i_t_e_l_y_recommend_the_facility_to_family_or_friends,patients_who_reported__p_r_o_b_a_b_l_y__y_e_s_they_would_recommend_the_facility_to_family_or_friends,"patients_who_reported__n_o,_they_would_not_recommend_the_facility_to_family_or_friends",patients_recommending_the_facility_linear_mean_score,footnote,number_of__sampled__patients,number_of__completed__surveys,survey__response__rate__percent,start__date,end__date
21C0001575,SURGCENTER OF THE POTOMAC LLC,6508 ROCK SPRING DR STE 100,BETHESDA,MD,20817,,(240) 783-0282,96.0,3.0,1.0,98.0,88.0,10.0,2.0,93.0,82.0,14.0,4.0,91.0,75.0,23.0,2.0,90.0,,633.0,132.0,21.0,01/01/2023,12/31/2023
21C0001580,SUMMIT AMBULATORY SURGICAL CENTER LLC,"7704 MATAPEAKE BUSINESS DRIVE, # 300",BRANDYWINE,MD,20613,,(301) 645-8838,,,,,,,,,,,,,,,,,4,,,,,
21C0001581,HARBOR HEIGHTS SURGERY CENTER,6710 OXON HILL RD SUITE 500,OXON HILL,MD,20745,,(240) 493-7533,98.0,2.0,0.0,99.0,94.0,4.0,2.0,96.0,87.0,11.0,2.0,94.0,83.0,15.0,2.0,93.0,,1112.0,303.0,27.0,01/01/2023,12/31/2023
21C0001583,GLEN ECHO SURGERY CENTER,5550 FRIENDSHIP BLVD SUITE 100,CHEVY CHASE,MD,20815,,(240) 534-2972,94.0,5.0,1.0,97.0,90.0,8.0,2.0,94.0,83.0,12.0,5.0,92.0,78.0,17.0,5.0,91.0,,883.0,195.0,22.0,01/01/2023,12/31/2023
21C0001587,SUMMIT AMBULATORY SURGICAL CENTER LLC,"7580 BUCKINGHAM BLVD, SUITE 100",HANOVER,MD,21076,,(443) 738-8124,,,,,,,,,,,,,,,,,4,,,,,
21C0001590,DIALYSIS ACCESS SERVICES LLC,1666 SULPHUR SPRINGS RD,BALTIMORE,MD,21227,,(410) 536-5400,95.0,4.0,1.0,97.0,90.0,8.0,2.0,94.0,86.0,11.0,3.0,94.0,77.0,17.0,6.0,89.0,,553.0,100.0,18.0,01/01/2023,12/31/2023
21C0001591,JOHNS HOPKINS SURGERY CENTERS SERIES DBA KNOLL NORTH SURGERY CENTER,5450 KNOLL NORTH DR STE 301,COLUMBIA,MD,21045,,(443) 546-1750,,,,,,,,,,,,,,,,,4,,,,,
21C0001594,DIALYSIS ACCESS SERVICES LLC,2405 YORK RD SUITE 100,TIMONIUM,MD,21093,,(410) 536-5400,93.0,7.0,0.0,97.0,92.0,5.0,3.0,95.0,97.0,2.0,1.0,98.0,90.0,10.0,0.0,97.0,2;3,340.0,39.0,11.0,01/01/2023,12/31/2023
21C0001611,SUMMIT AMBULATORY SURGICAL CENTER,19851 OBSERVATION DRIVE SUITE 455,GERMANTOWN,MD,20876,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001618,JOHNS HOPKINS SURGERY CENTER SERIES,10803 FALLS RD SUITE 3100,LUTHERVILLE,MD,21093,,(443) 442-2700,,,,,,,,,,,,,,,,,4,,,,,
21C0001632,SUMMIT AMBULATORY SURGICAL CENTER LLC,810 BESTGATE ROAD SUITE 200,ANNAPOLIS,MD,21401,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001636,NSPC SURGERY CENTER OF MARYLAND,6710 OXON HILL ROAD SUITE 550B,OXON HILL,MD,21031,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001650,JOHNS HOPKINS SURGERY CENTERS SERIES,5759 CEDAR LANE,COLUMBIA,MD,21044,,(443) 718-3738,,,,,,,,,,,,,,,,,4,,,,,
21C0001663,JOHNS HOPKINS SURGERY CENTER SERIES,10755 FALLS ROAD PAVILION 1 SUITE 480,LUTHERVILLE,MD,21093,,(410) 616-7250,,,,,,,,,,,,,,,,,4,,,,,
22C0001011,ARC WORCESTER CENTER LP DBA WORCESTER SURGICAL CENTER,300 GROVE ST,WORCESTER,MA,1605,,(508) 754-0700,97.0,3.0,0.0,99.0,93.0,6.0,1.0,96.0,88.0,10.0,2.0,95.0,87.0,11.0,2.0,94.0,,1178.0,379.0,32.0,01/01/2023,12/31/2023
22C0001023,CATARACT AND LASER CENTER WEST LLC,171 INTERSTATE DR,WEST SPRINGFIELD,MA,1089,,(413) 737-5500,,,,,,,,,,,,,,,,,4,,,,,
23C0001020,SURGICAL CARE CENTER OF MICHIGAN,750 EAST BELTLINE NE,GRAND RAPIDS,MI,49525,,(616) 588-6520,96.0,3.0,1.0,98.0,86.0,11.0,3.0,91.0,91.0,6.0,3.0,95.0,89.0,9.0,2.0,96.0,,1367.0,279.0,21.0,01/01/2023,12/31/2023
23C0001031,GENESIS ASC PARTNERS LLC DBA GENESIS SURGERY CENTER,3400 EAST JOLLY RD,LANSING,MI,48910,,(517) 708-3363,97.0,2.0,1.0,98.0,92.0,7.0,1.0,95.0,89.0,9.0,2.0,95.0,87.0,12.0,1.0,96.0,,662.0,213.0,38.0,01/01/2023,12/31/2023
23C0001053,EAST PARIS SURGICAL CENTER LLC,1000 EAST PARIS AVE S.E.,GRAND RAPIDS,MI,49546,,(616) 464-3430,98.0,2.0,0.0,99.0,88.0,10.0,2.0,93.0,92.0,6.0,2.0,96.0,91.0,8.0,1.0,96.0,,1520.0,392.0,27.0,01/01/2023,12/31/2023
23C0001080,WALKER SURGICAL CENTER LLC,3300 WALKER VIEW DR.,WALKER,MI,49544,,(616) 588-6560,,,,,,,,,,,,,,,,,4,,,,,
23C0001085,TOWNE CENTRE SURGERY CENTER LLC,4599 TOWN CENTER RD.,SAGINAW,MI,48604,,(989) 497-3096,98.0,2.0,0.0,99.0,88.0,9.0,3.0,92.0,91.0,8.0,1.0,96.0,90.0,10.0,0.0,97.0,,1724.0,377.0,22.0,01/01/2023,12/31/2023
23C0001109,CLARKSTON SURGERY CENTER,5701 BOW POINTE DR,CLARKSTON,MI,48346,,(248) 922-4800,99.0,1.0,0.0,99.0,92.0,7.0,1.0,96.0,90.0,9.0,1.0,96.0,88.0,12.0,0.0,96.0,,1263.0,434.0,34.0,01/01/2023,12/31/2023
23C0001114,SURGICAL INSTITUTE OF MONROE,1051 SOUTH TELEGRAPH RD,MONROE,MI,48161,,(734) 244-5383,99.0,1.0,0.0,99.0,93.0,6.0,1.0,96.0,93.0,6.0,1.0,96.0,90.0,9.0,1.0,96.0,,1414.0,559.0,40.0,01/01/2023,12/31/2023
23C0001128,RED CEDAR SURGERY CENTER PLLC,5668 OKEMOS RD,HASLETT,MI,48840,,(517) 481-2883,97.0,3.0,0.0,99.0,92.0,7.0,1.0,95.0,94.0,5.0,1.0,97.0,92.0,8.0,0.0,97.0,,1373.0,649.0,47.0,01/01/2023,12/31/2023
23C0001137,GRAND RAPIDS SURGICAL SUITES PLLC,2505 EAST PARIS AVE SUITE 105,GRAND RAPIDS,MI,49546,,(616) 551-3459,,,,,,,,,,,,,,,,,4,,,,,
23C0001139,HEALTH POINTE,15100 WHITTAKER WAY,GRAND HAVEN,MI,49417,,(616) 935-6329,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,90.0,8.0,2.0,95.0,85.0,13.0,2.0,94.0,,2544.0,541.0,21.0,01/01/2023,12/31/2023
23C0001140,MICHIGAN OUTPATIENT SURGICAL SOLUTIONS,46325 WEST 12 MILE ROAD SUITE 100,NOVI,MI,48377,,(248) 618-2121,,,,,,,,,,,,,,,,,4,,,,,
23C0001144,NORTHERN MICHIGAN SURGICAL SUITES,825 MOLL DRIVE,BOYNE CITY,MI,49712,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
24C0001010,CARRIS HEALTH LLC,"1310 1ST STREET S, PO BOX 773",WILLMAR,MN,56201,,(000) 000-0000,99.0,1.0,0.0,99.0,94.0,5.0,1.0,96.0,88.0,11.0,1.0,95.0,84.0,15.0,1.0,94.0,,2878.0,784.0,27.0,01/01/2023,12/31/2023
24C0001019,LANDMARK SURGERY CENTER,7115 TAMARACK RD SUITE 200,WOODBURY,MN,55125,,(651) 261-1717,99.0,1.0,0.0,99.0,93.0,6.0,1.0,96.0,94.0,5.0,1.0,97.0,90.0,9.0,1.0,96.0,,1356.0,452.0,33.0,01/01/2023,12/31/2023
24C0001052,SUMMIT ORTHOPEDICS LTD DBA PLYMOUTH SURGERY CENTER,15700 37TH AVENUE NORTH SUITE 210,PLYMOUTH,MN,55446,,(651) 968-5662,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,92.0,5.0,3.0,95.0,86.0,11.0,3.0,94.0,,1183.0,330.0,28.0,01/01/2023,12/31/2023
24C0001053,ORSESHOE SURGERY CENTER LLC DBA LAKEWOOD SURGERY CENTER,1542 GOLF COURSE RD SUITE 105,GRAND RAPIDS,MN,55744,,(218) 326-3937,,,,,,,,,,,,,,,,,4,,,,,
24C0001060,CENTRACARE SURGERY CENTER LLC,1900 CENTRACARE CIR,ST CLOUD,MN,56303,,(320) 229-4964,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,89.0,9.0,2.0,95.0,84.0,14.0,2.0,94.0,,3128.0,920.0,29.0,01/01/2023,12/31/2023
24C0001078,VADNAIS HEIGHTS SURGERY CENTER,3580 ARCADE ST,VADNAIS HEIGHTS,MN,55127,,(651) 968-5662,99.0,1.0,0.0,99.0,91.0,8.0,1.0,95.0,92.0,7.0,1.0,96.0,90.0,9.0,1.0,96.0,,1349.0,545.0,40.0,01/01/2023,12/31/2023
24C0001088,MINNETONKA AMBULATORY SURGERY CENTER LLC,15450 HWY 7 SUITE 200,MINNETONKA,MN,55345,,(763) 581-8950,,,,,,,,,,,,,,,,,4,,,,,
24C0001091,EAGAN SURGERY CENTER,2620 EAGAN WOODS DR,EAGAN,MN,55121,,(651) 968-5662,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,91.0,8.0,1.0,95.0,89.0,10.0,1.0,96.0,,1291.0,504.0,39.0,01/01/2023,12/31/2023
24C0001115,ESSENTIA HEALTH SURGERY CENTERS DULUTH LLC DBA ESSENTIA HEALTH SURGERY CENTER MILLER HILL,1600 MILLER TRUNK HIGHWAY BUILDING D SUITE 101,DULUTH,MN,55811,,(218) 606-9200,,,,,,,,,,,,,,,,,4,,,,,
25C0001028,SOUTHERN SURGERY CENTER,3688 VETERANS MEMORIAL DR SUITE 100,HATTIESBURG,MS,39401,,(601) 554-7533,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,97.0,2.0,1.0,97.0,95.0,5.0,0.0,98.0,,1186.0,454.0,39.0,01/01/2023,12/31/2023
25C0001046,COLUMBUS ORTHOPAEDIC OUTPATIENT CENTER,640 LEIGH DR,COLUMBUS,MS,39705,,(662) 328-7123,98.0,2.0,0.0,99.0,89.0,7.0,4.0,93.0,91.0,6.0,3.0,95.0,84.0,14.0,2.0,93.0,2,651.0,181.0,28.0,01/01/2023,12/31/2023
25C0001058,CENTER FOR DIGESTIVE HEALTH LLC,589 GARFIELD ST,TUPELO,MS,38801,,(662) 377-4173,97.0,3.0,0.0,99.0,93.0,5.0,2.0,95.0,92.0,6.0,2.0,96.0,89.0,9.0,2.0,96.0,,1596.0,371.0,23.0,01/01/2023,12/31/2023
25C0001069,G I DIAGNOSTIC AND THERAPEUTIC CENTER LLC,"7668 AIRWAYS BLVD, BUILDING # 2",SOUTHAVEN,MS,38671,,(662) 349-6950,,,,,,,,,,,,,,,,,4,,,,,
26C0001021,CREEKWOOD SURGERY CENTER LP,211 NORTHEAST 54TH ST SUITE 100,KANSAS CITY,MO,64118,,(816) 988-2553,96.0,3.0,1.0,98.0,91.0,7.0,2.0,95.0,87.0,11.0,2.0,95.0,84.0,14.0,2.0,94.0,,1420.0,370.0,26.0,01/01/2023,12/31/2023
26C0001028,SAINT LUKES GI DIAGNOSTICS LLC,4321 WASHINGTON STE. 5600,KANSAS CITY,MO,64111,,(816) 416-8353,96.0,3.0,1.0,98.0,90.0,8.0,2.0,94.0,85.0,11.0,4.0,93.0,83.0,14.0,3.0,93.0,,1476.0,385.0,26.0,01/01/2023,12/31/2023
26C0001060,SOUTH COUNTY OUTPATIENT ENDOSCOPY SERVICES LP DBA SOUTH COUNTY OUTPATIENT ENDOSCOPY SERVICES,5139 MATTIS RD  SUITE 100,ST LOUIS,MO,63128,,(314) 729-9780,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,91.0,7.0,2.0,96.0,89.0,9.0,2.0,95.0,,1199.0,486.0,41.0,01/01/2023,12/31/2023
26C0001061,MANCHESTER AMBULATORY SURGERY CENTER LP DBA DES PERES SQUARE SURGERY CENTER,1050 OLD DES PERES RD SUITE 150,SAINT LOUIS,MO,63131,,(314) 775-2264,96.0,4.0,0.0,98.0,91.0,8.0,1.0,95.0,87.0,11.0,2.0,94.0,86.0,13.0,1.0,95.0,,2446.0,724.0,30.0,01/01/2023,12/31/2023
26C0001066,MIDWEST DIGESTIVE HEALTH CENTER LLC,3601 NORTHEAST RALPH POWELL RD,LEES SUMMIT,MO,64064,,(816) 251-1255,98.0,2.0,0.0,99.0,96.0,3.0,1.0,97.0,95.0,4.0,1.0,97.0,91.0,8.0,1.0,97.0,,1620.0,451.0,28.0,01/01/2023,12/31/2023
26C0001069,BRIARCLIFF AMBULATORY SURGERY CENTER LP DBA BRIARCLIFF SURGERY CENTER,4150 NORTH MULBERRY DR SUITE 100,KANSAS CITY,MO,64116,,(816) 214-4364,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,90.0,9.0,1.0,95.0,89.0,9.0,2.0,95.0,,1581.0,424.0,27.0,01/01/2023,12/31/2023
26C0001080,MID RIVERS SURGERY CENTER,5401 VETERANS MEMOIRAL PARKWAY,ST PETERS,MO,63376,,(636) 441-0906,97.0,3.0,0.0,98.0,92.0,7.0,1.0,96.0,88.0,11.0,1.0,96.0,91.0,8.0,1.0,96.0,,482.0,125.0,26.0,01/01/2023,12/31/2023
26C0001082,CHESTERFIELD SURGERY CENTER,17050 BAXTER RD SUITE 110,CHESTERFIELD,MO,63005,,(636) 537-0122,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,89.0,10.0,1.0,96.0,87.0,12.0,1.0,95.0,,925.0,297.0,32.0,01/01/2023,12/31/2023
26C0001087,ADVANCED AMBULATORY SURGICAL CARE LP,"10448 OLD OLIVE ST RD, SUITE 100",CREVE COEUR,MO,63141,,(314) 743-8091,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,92.0,6.0,2.0,96.0,86.0,12.0,2.0,94.0,,919.0,243.0,26.0,01/01/2023,12/31/2023
26C0001088,SURGERY CENTER OF COLUMBIA LP,305 NORTH KEENE ST SUITE 107,COLUMBIA,MO,65201,,(573) 256-6272,97.0,2.0,1.0,98.0,92.0,7.0,1.0,95.0,84.0,13.0,3.0,94.0,84.0,14.0,2.0,94.0,,680.0,272.0,40.0,01/01/2023,12/31/2023
26C0001097,RIVERSIDE AMBULATORY SURGERY CENTER,100 VILLAGE SQUARE,HAZELWOOD,MO,63042,,(314) 373-8931,97.0,3.0,0.0,99.0,92.0,7.0,1.0,96.0,90.0,8.0,2.0,95.0,87.0,11.0,2.0,94.0,,1848.0,482.0,26.0,01/01/2023,12/31/2023
26C0001109,WEBSTER AMBULATORY SURGERY CENTER LP DBA LANDMARK SURGERY CENTER,9701 LANDMARK PARKWAY DR SUITE 100,SAINT LOUIS,MO,63127,,(314) 729-0100,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,89.0,10.0,1.0,95.0,83.0,15.0,2.0,93.0,,948.0,276.0,29.0,01/01/2023,12/31/2023
26C0001112,FRONTENAC AMBULATORY SURGERY AND SPINE CARE CENTER LP DBA FRONTENAC SURGERY AND SPINE CARE CENTER,10435 CLAYTON RD SUITE 110,FRONTENAC,MO,63131,,(314) 995-3990,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,94.0,4.0,2.0,96.0,90.0,8.0,2.0,96.0,,1259.0,333.0,26.0,01/01/2023,12/31/2023
26C0001116,MASON RIDGE AMBULATORY SURGERY CENTER DBA GATEWAY ENDOSCOPY CENTER,12855 NORTH FORTY DR SUITE 150,SAINT LOUIS,MO,63141,,(314) 336-1130,99.0,1.0,0.0,100.0,94.0,5.0,1.0,97.0,95.0,4.0,1.0,97.0,95.0,4.0,1.0,98.0,,1126.0,369.0,33.0,01/01/2023,12/31/2023
26C0001117,TWIN CITIES AMBULATORY SURGERY CENTER LP,1101 W. GANNON DR.,FESTUS,MO,63028,,(636) 931-5997,97.0,2.0,1.0,98.0,91.0,7.0,2.0,95.0,89.0,7.0,4.0,94.0,83.0,13.0,4.0,92.0,,796.0,299.0,38.0,01/01/2023,12/31/2023
26C0001138,OLD TESSON SURGERY CENTER,12639 OLD TESSON SUITE 130,ST. LOUIS,MO,63128,,(314) 748-4225,98.0,2.0,0.0,99.0,91.0,8.0,1.0,95.0,88.0,11.0,1.0,95.0,87.0,12.0,1.0,95.0,,670.0,284.0,42.0,01/01/2023,12/31/2023
26C0001148,EMERSON SURGERY CENTER LLC,"633 EMERSON RD, SUITE 140",ST LOUIS,MO,63141,,(314) 991-9922,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,92.0,7.0,1.0,96.0,92.0,7.0,1.0,97.0,,1113.0,337.0,30.0,01/01/2023,12/31/2023
26C0001157,OLIVE AMBULATORY SURGERY CENTER DBA NORTH CAMPUS SURGERY CENTER,633 EMERSON RD SUITE 120,SAINT LOUIS,MO,63141,,(314) 991-2090,95.0,4.0,1.0,97.0,94.0,5.0,1.0,96.0,70.0,30.0,0.0,92.0,71.0,24.0,5.0,89.0,3,132.0,31.0,23.0,01/01/2023,12/31/2023
26C0001162,TOTAL JOINT CENTER OF THE NORTHLAND,200 NORTHEAST 54TH ST SUITE 200,KANSAS CITY,MO,64118,,(816) 499-8500,99.0,1.0,0.0,99.0,94.0,5.0,1.0,96.0,96.0,2.0,2.0,98.0,93.0,6.0,1.0,97.0,,464.0,248.0,53.0,01/01/2023,12/31/2023
27C0001020,YELLOWSTONE SURGERY CENTER LLC,1144 N. 28TH ST.,BILLINGS,MT,59101,,(406) 237-5900,98.0,2.0,0.0,99.0,92.0,7.0,1.0,96.0,90.0,8.0,2.0,95.0,90.0,9.0,1.0,96.0,,1048.0,297.0,28.0,01/01/2023,12/31/2023
27C0001028,YELLOWSTONE SURGERY CENTER LLC DBA YELLOWSTONE SURGERY CENTER WEST,1739 SPRING CREEK DRIVE,BILLINGS,MT,59102,,(000) 000-0000,97.0,3.0,0.0,98.0,90.0,9.0,1.0,94.0,93.0,6.0,1.0,96.0,89.0,10.0,1.0,96.0,,1204.0,485.0,40.0,01/01/2023,12/31/2023
27C0001029,WEST BOZEMAN SURGERY CENTER LLC DBA BOZEMAN OUTPATIENT SURGERY CENTER,875 SOUTH COTTONWOOD ROAD SUITE 100,BOZEMAN,MT,59718,,(000) 000-0000,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,90.0,8.0,2.0,95.0,88.0,11.0,1.0,96.0,,1634.0,549.0,34.0,01/01/2023,12/31/2023
28C0001032,NORTH PLATTE SURGERY CENTER LLC,621 WEST FRANCIS ST,NORTH PLATTE,NE,69101,,(308) 534-5400,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,89.0,10.0,1.0,95.0,85.0,13.0,2.0,94.0,,1217.0,397.0,33.0,01/01/2023,12/31/2023
29C0001036,PARKWAY SURGERY CENTER,100 NORTH GREEN VALLEY PARKWAY SUITE 125,HENDERSON,NV,89074,,(702) 616-4950,97.0,3.0,0.0,98.0,89.0,9.0,2.0,94.0,88.0,10.0,2.0,95.0,85.0,13.0,2.0,94.0,,1323.0,286.0,22.0,01/01/2023,12/31/2023
29C0001038,LAKE TAHOE SURGERY CENTER,212 ELKS POINT RD SUITE 201,ZEPHYR COVE,NV,89448,,(775) 588-9188,,,,,,,,,,,,,,,,,4,,,,,
29C0001073,DURANGO OUTPATIENT SURGERY CENTER,8530 WEST SUNSET RD SUITE 100,LAS VEGAS,NV,89113,,(702) 789-5700,97.0,3.0,0.0,99.0,90.0,8.0,2.0,94.0,90.0,9.0,1.0,96.0,85.0,11.0,4.0,93.0,,1019.0,157.0,15.0,01/01/2023,12/31/2023
29C0001102,PARKWAY SURGERY CENTER DBA PARKWAY SURGERY CENTER AT HORIZON RIDGE,10561 JEFFREYS ST SUITE 130,HENDERSON,NV,89052,,(702) 724-8900,96.0,3.0,1.0,98.0,90.0,8.0,2.0,94.0,86.0,10.0,4.0,94.0,85.0,12.0,3.0,94.0,,1433.0,310.0,22.0,01/01/2023,12/31/2023
30C0001014,DARTMOUTH-HITCHCOCK CLINIC,100 HITCHCOCK WAY,MANCHESTER,NH,3104,,(603) 629-8237,99.0,1.0,0.0,99.0,93.0,6.0,1.0,96.0,93.0,6.0,1.0,96.0,92.0,7.0,1.0,96.0,,2634.0,691.0,26.0,01/01/2023,12/31/2023
30C0001031,DARTMOUTH HITCHCOCK CLINIC,2300 SOUTHWOOD DR,NASHUA,NH,3063,,(603) 577-4180,99.0,1.0,0.0,100.0,95.0,4.0,1.0,97.0,94.0,5.0,1.0,97.0,92.0,8.0,0.0,97.0,,1771.0,456.0,26.0,01/01/2023,12/31/2023
30C0001042,NORTH ATLANTIC SURGICAL SUITES LLC,23 KEEYWAYDIN DRIVE,SALEM,NH,3079,,(603) 386-0272,98.0,2.0,0.0,99.0,93.0,5.0,2.0,96.0,92.0,7.0,1.0,97.0,89.0,10.0,1.0,96.0,,759.0,404.0,53.0,01/01/2023,12/31/2023
30C0001043,MINIMALLY INVASIVE SURGERY CENTER OF NEW ENGLAND,4 HAWTHORNE DRIVE,BEDFORD,NH,3079,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
30C0001044,ATLANTIC COAST SURGICAL SUITES LLC,325-2 LAFAYETTE RD,SEABROOK,NH,3874,,(603) 218-1793,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,92.0,7.0,1.0,96.0,88.0,11.0,1.0,95.0,,445.0,185.0,42.0,01/01/2023,12/31/2023
31C0001035,BERGEN GASTROENTEROLOGY PC,"466 OLD HOOK RD, SUITE 1",EMERSON,NJ,7630,,(201) 967-8221,97.0,3.0,0.0,99.0,92.0,6.0,2.0,95.0,85.0,13.0,2.0,94.0,87.0,12.0,1.0,95.0,,1110.0,276.0,25.0,01/01/2023,12/31/2023
31C0001099,SHORE OUTPATIENT SURGICENTER LLC,360 ROUTE 70,LAKEWOOD,NJ,8201,,(732) 942-9835,98.0,2.0,0.0,99.0,89.0,8.0,3.0,93.0,89.0,9.0,2.0,95.0,87.0,11.0,2.0,95.0,,1122.0,363.0,32.0,01/01/2023,12/31/2023
31C0001126,SHREWSBURY SURGERY CENTER,655 SHREWSBURY AVE,SHREWSBURY,NJ,7702,,(732) 450-6000,98.0,2.0,0.0,99.0,91.0,7.0,2.0,95.0,92.0,7.0,1.0,96.0,91.0,9.0,0.0,97.0,,1498.0,417.0,28.0,01/01/2023,12/31/2023
31C0001147,SAME DAY SURGERY CENTER,225 MAY ST UNIT C,EDISON,NJ,8837,,(732) 661-0570,96.0,4.0,0.0,98.0,92.0,6.0,2.0,95.0,86.0,12.0,2.0,94.0,82.0,17.0,1.0,94.0,,1518.0,328.0,22.0,01/01/2023,12/31/2023
31C0001150,DENVILLE SURGERY CENTER,3130 ROUTE 10 WEST SUITE 200,DENVILLE,NJ,7834,,(973) 328-3475,97.0,3.0,0.0,99.0,92.0,6.0,2.0,95.0,88.0,11.0,1.0,95.0,85.0,13.0,2.0,94.0,,1338.0,378.0,28.0,01/01/2023,12/31/2023
31C0001152,ENDOSCOPY CENTER OF HACKENSACK LLC DBA HACKENSACK ENDOSCOPY CENTER,170 PROSPECT AVE  SUITE 10,HACKENSACK,NJ,7601,,(201) 498-0030,97.0,3.0,0.0,98.0,91.0,6.0,3.0,94.0,91.0,8.0,1.0,95.0,92.0,7.0,1.0,96.0,,931.0,239.0,26.0,01/01/2023,12/31/2023
31C0001153,TOMS RIVER SURGERY CENTER,1430 HOOPER AVE SUITE 301,TOMS RIVER,NJ,8753,,(732) 240-2277,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,96.0,3.0,1.0,97.0,93.0,6.0,1.0,97.0,,1144.0,392.0,34.0,01/01/2023,12/31/2023
31C0001160,HAMILTON ENDOSCOPY AND SURGERY CENTER LLC,"1235 WHITE HORSE MERCERVILLE RD, SUITE 310",HAMILTON,NJ,8619,,(609) 581-6610,96.0,4.0,0.0,98.0,85.0,11.0,4.0,91.0,90.0,6.0,4.0,94.0,84.0,14.0,2.0,93.0,,737.0,206.0,28.0,01/01/2023,12/31/2023
31C0001162,SUBURBAN ENDOSCOPY CENTER LLC,799 BLOOMFIELD AVE.,VERONA,NJ,7044,,(973) 571-1600,99.0,1.0,0.0,99.0,91.0,6.0,3.0,94.0,93.0,6.0,1.0,96.0,91.0,8.0,1.0,96.0,,1239.0,279.0,23.0,01/01/2023,12/31/2023
31C0001193,LAKEWOOD SURGERY CENTER LLC,1215 ROUTE 70 SUITE 2000,LAKEWOOD,NJ,8701,,(732) 719-1800,98.0,1.0,1.0,99.0,91.0,8.0,1.0,95.0,90.0,10.0,0.0,96.0,85.0,14.0,1.0,94.0,,1594.0,506.0,32.0,01/01/2023,12/31/2023
31C0001197,METROPOLITAN NEW JERSEY LLC DBA METROPOLITAN SURGERY CENTER,433 HACKENSACK AVE,HACKENSACK,NJ,7601,,(201) 527-6800,96.0,4.0,0.0,98.0,89.0,9.0,2.0,93.0,83.0,16.0,1.0,93.0,76.0,22.0,2.0,91.0,,1413.0,286.0,20.0,01/01/2023,12/31/2023
31C0001199,CENTER FOR BONE AND JOINT SURGERY DBA NORTHERN MONMOUTH REGIONAL SURGERY CENTER LLC,195 ROUTE 9 SOUTH SUITE 210,MANALAPAN,NJ,7726,,(732) 921-2305,99.0,1.0,0.0,99.0,90.0,8.0,2.0,94.0,90.0,9.0,1.0,97.0,88.0,11.0,1.0,96.0,,1018.0,335.0,33.0,01/01/2023,12/31/2023
31C0001205,PARAMUS ENDOSCOPY LLC DBA ENDOSCOPY CENTER OF BERGEN COUNTY,80 EISENHOWER DR SUITE 100,PARAMUS,NJ,7652,,(201) 336-1100,98.0,2.0,0.0,99.0,90.0,8.0,2.0,94.0,90.0,9.0,1.0,96.0,90.0,9.0,1.0,96.0,,1448.0,344.0,24.0,01/01/2023,12/31/2023
